Medal,Number_of_Medals,region,Year,Sport
Silver,7,France,2008,Swimming
Bronze,2,Georgia,2016,Wrestling
Bronze,4,Germany,2008,Rowing
Silver,8,Germany,1980,Gymnastics
Bronze,15,USA,1924,Athletics
Silver,4,USA,1932,Bobsleigh
Silver,11,USA,1976,Athletics
Silver,1,USA,1988,Shooting
Gold,1,Italy,2008,Boxing
Gold,10,China,2012,Diving
Gold,19,India,1936,Hockey
Bronze,4,Canada,1908,Cycling
Silver,18,Sweden,2016,Football
Silver,14,Sweden,2012,Handball
Bronze,4,France,1980,Athletics
Silver,1,Iran,1976,Wrestling
Silver,2,Russia,1976,Cross Country Skiing
Gold,16,Germany,1968,Rowing
Gold,17,Germany,1976,Football
Bronze,2,Italy,1984,Boxing
Bronze,8,USA,1924,Rowing
Gold,12,Brazil,2008,Volleyball
Bronze,6,Italy,1988,Fencing
Silver,4,Hungary,1996,Canoeing
Silver,3,Russia,1976,Sailing
Bronze,17,Russia,1960,Ice Hockey
Gold,14,India,1928,Hockey
Bronze,2,Denmark,2016,Rowing
Gold,2,USA,1964,Shooting
Bronze,3,USA,1920,Diving
Bronze,4,UK,1908,Wrestling
Silver,6,USA,1904,Wrestling
Bronze,3,Poland,1960,Boxing
Gold,1,France,2008,Swimming
Silver,6,France,1900,Swimming
Gold,5,Austria,2006,Nordic Combined
Bronze,3,USA,2000,Wrestling
Silver,8,UK,1936,Athletics
Bronze,17,Italy,1906,Rowing
Gold,1,Norway,2006,Ski Jumping
Silver,25,USA,1904,Athletics
Bronze,6,USA,1952,Swimming
Gold,13,Italy,2004,Water Polo
Gold,4,Norway,1998,Cross Country Skiing
Silver,1,Italy,1988,Athletics
Gold,1,Japan,2006,Figure Skating
Gold,20,USA,1964,Athletics
Silver,2,Germany,1992,Wrestling
Silver,2,Germany,1928,Art Competitions
Silver,1,Austria,2002,Cross Country Skiing
Bronze,5,USA,2004,Athletics
Gold,1,New Zealand,2004,Triathlon
Silver,1,Germany,1928,Fencing
Silver,7,USA,1904,Swimming
Gold,12,Brazil,2004,Volleyball
Gold,12,Brazil,2016,Volleyball
Bronze,10,France,1908,Shooting
Silver,1,South Korea,1992,Badminton
Gold,4,Switzerland,1936,Bobsleigh
Bronze,3,Germany,1964,Athletics
Gold,8,Italy,2000,Fencing
Silver,6,Italy,2004,Rhythmic Gymnastics
Silver,3,Germany,2008,Table Tennis
Gold,8,Sweden,1952,Equestrianism
Gold,12,Canada,1908,Lacrosse
Bronze,4,Japan,1992,Short Track Speed Skating
Gold,1,Lithuania,2000,Athletics
Gold,16,Australia,2000,Hockey
Bronze,15,Australia,2000,Softball
Silver,17,Sweden,1964,Ice Hockey
Gold,16,Serbia,1960,Football
Silver,1,Israel,1992,Judo
Bronze,3,Belarus,2000,Athletics
Silver,17,Canada,1960,Ice Hockey
Bronze,18,Germany,1976,Ice Hockey
Silver,13,Germany,1988,Swimming
Silver,3,UK,1900,Athletics
Silver,2,Russia,1984,Figure Skating
Bronze,3,Italy,1992,Modern Pentathlon
Silver,2,France,1980,Cycling
Bronze,2,Netherlands,2004,Cycling
Bronze,1,Italy,1972,Diving
Silver,9,USA,1992,Swimming
Bronze,1,Iran,2016,Taekwondo
Silver,9,USA,1904,Rowing
Bronze,5,Argentina,1928,Fencing
Silver,10,UK,1908,Sailing
Silver,22,USA,2004,Swimming
Gold,8,Russia,1988,Wrestling
Gold,12,USA,1984,Volleyball
Bronze,1,Russia,1912,Shooting
Bronze,9,Belgium,1936,Water Polo
Silver,5,Germany,1936,Canoeing
Bronze,7,USA,1936,Swimming
Gold,4,South Africa,2012,Rowing
Bronze,1,Finland,1928,Sailing
Gold,2,France,1928,Figure Skating
Silver,5,Sweden,1924,Shooting
Bronze,2,Finland,1948,Gymnastics
Bronze,12,Finland,1912,Sailing
Bronze,1,Qatar,2012,Shooting
Bronze,17,Brazil,2008,Football
Bronze,4,Russia,1972,Gymnastics
Bronze,2,USA,1992,Canoeing
Silver,2,Russia,2016,Shooting
Silver,13,USA,1988,Water Polo
Silver,1,France,1988,Shooting
Silver,18,Russia,1952,Gymnastics
Bronze,5,Netherlands,1900,Shooting
Gold,11,Serbia,1968,Water Polo
Silver,12,Serbia,2016,Volleyball
Gold,3,France,1992,Biathlon
Bronze,2,Netherlands,2016,Beach Volleyball
Gold,2,UK,1928,Athletics
Bronze,8,UK,1924,Athletics
Gold,8,Italy,1932,Gymnastics
Bronze,5,Italy,1932,Athletics
Bronze,4,Russia,2012,Gymnastics
Bronze,4,Switzerland,1988,Alpine Skiing
Silver,4,Switzerland,1984,Cycling
Bronze,15,Croatia,2012,Handball
Silver,6,Sweden,1936,Fencing
Gold,5,Russia,1988,Fencing
Bronze,1,Japan,1996,Athletics
Bronze,12,Russia,2004,Basketball
Silver,9,UK,1996,Athletics
Silver,9,Hungary,1948,Gymnastics
Gold,3,Norway,1948,Sailing
Bronze,4,Sweden,1932,Cycling
Gold,1,Italy,1900,Cycling
Bronze,4,Cuba,2008,Boxing
Silver,1,Sweden,1932,Boxing
Gold,42,Germany,1976,Rowing
Silver,1,North Korea,2008,Judo
Gold,2,Japan,1972,Swimming
Silver,14,USA,1972,Swimming
Gold,14,Germany,1972,Rowing
Silver,3,Netherlands,1972,Speed Skating
Gold,11,UK,1908,Football
Bronze,13,Russia,2004,Water Polo
Gold,3,Hungary,1968,Modern Pentathlon
Bronze,4,Denmark,2012,Rowing
Silver,2,Sweden,1988,Sailing
Gold,12,USA,2004,Basketball
Bronze,5,USA,1924,Shooting
Silver,1,Canada,1980,Speed Skating
Bronze,10,USA,1900,Athletics
Silver,1,Netherlands,1952,Athletics
Bronze,16,USA,2008,Swimming
Gold,13,Australia,2000,Water Polo
Gold,25,USA,1996,Athletics
Bronze,2,Cuba,1980,Boxing
Bronze,2,Russia,2006,Biathlon
Bronze,29,France,1900,Sailing
Bronze,7,Switzerland,1924,Rowing
Gold,19,Russia,1980,Gymnastics
Gold,4,Austria,1992,Bobsleigh
Gold,1,Germany,1976,Ski Jumping
Gold,14,Germany,1980,Athletics
Silver,4,Canada,2004,Rowing
Gold,22,USA,1956,Athletics
Silver,4,France,1952,Rowing
Gold,11,Russia,1960,Athletics
Silver,1,Italy,1932,Gymnastics
Silver,1,Sweden,1972,Speed Skating
Gold,12,Germany,1936,Equestrianism
Bronze,5,Germany,1952,Equestrianism
Bronze,1,Mexico,1948,Diving
Gold,2,Argentina,1952,Rowing
Gold,2,Norway,1992,Alpine Skiing
Bronze,1,New Zealand,1992,Cycling
Bronze,2,Japan,1976,Weightlifting
Bronze,1,Japan,2016,Athletics
Gold,1,USA,2008,Cycling
Silver,14,Iceland,2008,Handball
Silver,1,Australia,1908,Boxing
Silver,4,Bulgaria,1988,Wrestling
Gold,8,UK,1908,Cycling
Gold,8,Hungary,1948,Fencing
Gold,4,Italy,1964,Cycling
Gold,4,Germany,1972,Luge
Silver,9,Germany,1972,Gymnastics
Bronze,20,USA,1996,Baseball
Bronze,7,Denmark,1912,Shooting
Silver,17,Russia,1980,Athletics
Bronze,12,South Korea,1976,Volleyball
Gold,3,Turkey,1956,Wrestling
Silver,2,Spain,2012,Canoeing
Gold,16,Canada,1952,Ice Hockey
Bronze,20,Ghana,1992,Football
Silver,4,Sweden,1952,Wrestling
Gold,12,Russia,1976,Wrestling
Bronze,4,Japan,1976,Wrestling
Bronze,1,Algeria,1996,Boxing
Silver,17,Paraguay,2004,Football
Gold,12,USA,1964,Basketball
Gold,8,UK,1908,Tug-Of-War
Silver,5,Netherlands,1992,Equestrianism
Bronze,4,Sweden,1920,Swimming
Bronze,5,New Zealand,2008,Cycling
Bronze,4,Denmark,2016,Swimming
Gold,5,Germany,1976,Sailing
Bronze,4,Germany,2012,Table Tennis
Bronze,1,Mexico,1960,Diving
Gold,5,Germany,2012,Canoeing
Gold,1,UK,2016,Triathlon
Gold,12,USA,1904,Archery
Bronze,14,France,1900,Water Polo
Bronze,2,France,1988,Swimming
Silver,7,Czech Republic,1968,Gymnastics
Gold,20,USA,1912,Shooting
Gold,41,USA,2012,Swimming
Bronze,12,Sweden,1952,Football
Bronze,2,Armenia,2008,Wrestling
Silver,8,Norway,1952,Sailing
Gold,21,USA,1952,Athletics
Gold,19,USA,1908,Athletics
Silver,9,USA,1996,Athletics
Silver,1,Kazakhstan,2000,Wrestling
Silver,6,USA,1984,Sailing
Silver,13,USA,1904,Gymnastics
Gold,2,Germany,1936,Sailing
Silver,8,Germany,1980,Cycling
Bronze,1,USA,2016,Diving
Gold,4,Russia,2008,Fencing
Bronze,2,USA,1924,Boxing
Bronze,5,Sweden,1928,Cycling
Gold,4,USA,1984,Cycling
Bronze,1,Morocco,1988,Boxing
Gold,12,Brazil,2012,Volleyball
Gold,6,Sweden,1948,Canoeing
Gold,8,Romania,2000,Gymnastics
Gold,6,Germany,1988,Cycling
Silver,10,Russia,1972,Athletics
Gold,4,Switzerland,1924,Military Ski Patrol
Bronze,3,Ukraine,1996,Athletics
Gold,1,Hungary,1980,Weightlifting
Gold,3,France,1932,Art Competitions
Bronze,6,USA,1952,Athletics
Bronze,3,Germany,1996,Fencing
Gold,2,France,2006,Biathlon
Gold,2,Russia,1994,Speed Skating
Bronze,2,Germany,1992,Weightlifting
Gold,7,Netherlands,1948,Athletics
Silver,7,UK,1908,Tennis
Bronze,15,Netherlands,1912,Football
Silver,5,Netherlands,1900,Rowing
Bronze,15,Australia,1996,Softball
Bronze,2,Norway,1994,Alpine Skiing
Gold,7,Russia,1976,Weightlifting
Silver,7,UK,1960,Fencing
Gold,12,Russia,1976,Gymnastics
Gold,12,USA,1960,Basketball
Gold,3,USA,1992,Synchronized Swimming
Silver,24,USA,1984,Rowing
Silver,12,UK,2016,Rugby Sevens
Silver,2,Netherlands,1920,Sailing
Gold,4,Germany,1976,Equestrianism
Gold,3,Russia,1960,Rowing
Silver,6,Belgium,1920,Shooting
Bronze,1,UK,2000,Canoeing
Bronze,4,Australia,2016,Equestrianism
Bronze,2,Romania,1984,Gymnastics
Silver,4,Romania,1996,Gymnastics
Bronze,1,Switzerland,2008,Judo
Gold,25,USA,1992,Athletics
Gold,2,Turkey,1964,Wrestling
Gold,1,Kazakhstan,2016,Swimming
Gold,2,USA,1976,Shooting
Silver,20,USA,2014,Ice Hockey
Gold,3,Denmark,1964,Sailing
Gold,14,Germany,1992,Canoeing
Gold,4,Serbia,1952,Rowing
Silver,6,Germany,1992,Canoeing
Silver,6,Hungary,1992,Canoeing
Bronze,2,Italy,1932,Fencing
Gold,15,Denmark,1996,Handball
Silver,12,Bulgaria,1980,Volleyball
Gold,5,Russia,1956,Cross Country Skiing
Bronze,6,Russia,2004,Athletics
Silver,3,Cuba,1980,Judo
Bronze,1,Czech Republic,1976,Modern Pentathlon
Silver,6,Germany,1972,Canoeing
Gold,2,Romania,1984,Weightlifting
Gold,10,Cuba,1992,Volleyball
Silver,3,Bulgaria,1960,Wrestling
Bronze,1,Norway,1912,Tennis
Gold,18,USA,1948,Athletics
Silver,6,Norway,1972,Cross Country Skiing
Bronze,2,France,1924,Figure Skating
Gold,1,Norway,1960,Cross Country Skiing
Bronze,2,Germany,1996,Wrestling
Gold,3,Italy,1984,Rowing
Gold,11,UK,1908,Athletics
Silver,2,Russia,2004,Weightlifting
Bronze,7,Sweden,1908,Water Polo
Silver,17,Germany,1980,Football
Gold,2,Romania,1964,Athletics
Silver,6,UK,2012,Rowing
Silver,5,UK,1920,Tennis
Gold,16,Czech Republic,1980,Football
Bronze,9,Italy,1906,Gymnastics
Bronze,1,Poland,2012,Weightlifting
Silver,3,Poland,1932,Rowing
Bronze,20,USA,2006,Ice Hockey
Bronze,1,Italy,2004,Boxing
Silver,4,France,1912,Equestrianism
Silver,4,France,1920,Equestrianism
Gold,2,Norway,1960,Speed Skating
Silver,5,Japan,1984,Wrestling
Gold,29,Serbia,1984,Handball
Silver,3,Sweden,1936,Wrestling
Gold,2,Greece,1896,Gymnastics
Silver,2,Belgium,1952,Rowing
Gold,7,Germany,2000,Cycling
Silver,13,USA,2000,Water Polo
Gold,23,Russia,1952,Gymnastics
Silver,20,Czech Republic,1984,Ice Hockey
Silver,7,Russia,2014,Cross Country Skiing
Bronze,8,New Zealand,1988,Rowing
Silver,14,Romania,1976,Handball
Gold,13,Russia,2014,Figure Skating
Gold,2,UK,1948,Sailing
Silver,4,Australia,2004,Rowing
Bronze,1,France,1988,Judo
Bronze,1,USA,1992,Freestyle Skiing
Silver,1,Romania,1980,Wrestling
Silver,15,Russia,1964,Gymnastics
Bronze,6,Belarus,2008,Rhythmic Gymnastics
Silver,12,USA,1988,Swimming
Bronze,3,France,2016,Cycling
Silver,5,Australia,1964,Swimming
Bronze,1,Italy,2004,Fencing
Silver,12,Brazil,1996,Basketball
Gold,7,Russia,1980,Fencing
Bronze,14,Canada,1976,Swimming
Bronze,2,Russia,1952,Shooting
Bronze,12,Russia,1968,Basketball
Bronze,2,France,1908,Cycling
Bronze,2,Poland,1964,Athletics
Silver,2,Brazil,2004,Beach Volleyball
Bronze,9,USA,1984,Athletics
Bronze,6,Germany,1936,Sailing
Bronze,4,Germany,2014,Cross Country Skiing
Silver,13,Russia,1988,Rowing
Bronze,5,France,1992,Canoeing
Gold,1,France,1988,Judo
Gold,22,Sweden,1994,Ice Hockey
Gold,3,South Korea,1996,Badminton
Gold,7,Russia,1980,Cross Country Skiing
Bronze,3,France,2008,Swimming
Gold,1,France,1968,Athletics
Gold,4,Canada,2014,Freestyle Skiing
Silver,9,Jamaica,2012,Athletics
Bronze,4,Poland,1976,Boxing
Bronze,2,France,1924,Tennis
Silver,4,Germany,1976,Luge
Silver,2,USA,2012,Diving
Silver,11,Russia,1980,Fencing
Bronze,1,Cuba,2012,Weightlifting
Gold,12,Russia,1980,Wrestling
Bronze,4,Norway,1972,Canoeing
Silver,13,Denmark,1908,Football
Gold,4,Netherlands,1972,Speed Skating
Bronze,1,USA,1996,Shooting
Gold,18,Russia,1956,Football
Bronze,2,Germany,1994,Luge
Silver,4,Russia,1998,Figure Skating
Bronze,2,Netherlands,2012,Judo
Bronze,1,Norway,2010,Speed Skating
Silver,2,UK,1996,Tennis
Bronze,1,UK,2012,Triathlon
Bronze,1,Finland,1984,Athletics
Bronze,2,Russia,1956,Canoeing
Bronze,4,USA,1956,Bobsleigh
Gold,4,France,1920,Cycling
Silver,31,France,2016,Handball
Gold,23,USA,2000,Basketball
Bronze,22,Norway,1912,Gymnastics
Gold,1,Norway,1928,Ski Jumping
Silver,10,Russia,2012,Athletics
Bronze,7,Russia,1952,Athletics
Gold,12,USA,2012,Water Polo
Gold,37,USA,2000,Swimming
Bronze,2,Azerbaijan,2004,Boxing
Bronze,8,Russia,1960,Gymnastics
Gold,20,USA,1998,Ice Hockey
Gold,1,Germany,1956,Gymnastics
Silver,8,Belgium,1920,Water Polo
Bronze,14,Belgium,1920,Hockey
Gold,6,Canada,2002,Short Track Speed Skating
Gold,19,Italy,1912,Gymnastics
Gold,1,Poland,2008,Gymnastics
Bronze,16,Germany,1972,Rowing
Bronze,5,USA,1992,Equestrianism
Bronze,2,UK,1908,Cycling
Gold,1,France,1920,Archery
Gold,2,Switzerland,2016,Cycling
Silver,1,UK,1980,Judo
Silver,2,Japan,1992,Athletics
Gold,1,Georgia,2004,Weightlifting
Bronze,8,USA,2000,Equestrianism
Bronze,10,USA,1920,Shooting
Silver,1,Argentina,1936,Swimming
Bronze,4,South Africa,1956,Swimming
Silver,14,USA,1912,Athletics
Bronze,5,Italy,1920,Equestrianism
Gold,4,Denmark,2008,Rowing
Silver,13,Greece,2004,Water Polo
Gold,1,France,2000,Boxing
Bronze,1,Sweden,1960,Speed Skating
Silver,4,Denmark,2016,Rowing
Bronze,2,Germany,1984,Rowing
Gold,5,Canada,1998,Short Track Speed Skating
Gold,7,Sweden,1920,Sailing
Silver,2,Italy,1956,Fencing
Silver,12,Denmark,1920,Hockey
Bronze,2,Venezuela,1984,Boxing
Bronze,17,Canada,1956,Ice Hockey
Bronze,1,Cuba,2016,Athletics
Bronze,1,Italy,1980,Diving
Gold,2,Spain,1980,Sailing
Silver,2,Sweden,1920,Diving
Silver,9,Germany,1976,Equestrianism
Silver,24,Australia,2004,Baseball
Gold,2,Sweden,1996,Canoeing
Bronze,5,Russia,1980,Gymnastics
Gold,12,Russia,2012,Volleyball
Bronze,12,Japan,2012,Volleyball
Bronze,2,Canada,2008,Athletics
Gold,13,France,1948,Fencing
Gold,6,Germany,2012,Equestrianism
Gold,6,Germany,1976,Bobsleigh
Silver,4,Germany,2012,Rowing
Gold,4,France,1996,Fencing
Bronze,12,Netherlands,1908,Football
Bronze,2,Poland,1972,Cycling
Bronze,7,Russia,1912,Sailing
Bronze,4,Ukraine,2004,Rowing
Gold,2,USA,1992,Speed Skating
Silver,1,Austria,1932,Figure Skating
Silver,3,Germany,1964,Sailing
Gold,9,Russia,2016,Fencing
Gold,1,United Arab Emirates,2004,Shooting
Gold,6,Russia,2008,Wrestling
Silver,1,Ukraine,2012,Wrestling
Gold,2,Austria,1928,Weightlifting
Gold,1,Germany,1984,Biathlon
Bronze,3,Austria,1988,Nordic Combined
Gold,12,USA,1992,Basketball
Silver,3,USA,1988,Archery
Bronze,1,Belgium,1924,Boxing
Bronze,42,Finland,1998,Ice Hockey
Silver,1,Ukraine,2012,Boxing
Silver,15,USA,1952,Ice Hockey
Silver,3,UK,1906,Cycling
Silver,1,France,1952,Swimming
Silver,1,Italy,2016,Swimming
Gold,4,UK,1948,Rowing
Gold,2,France,1920,Weightlifting
Silver,4,Italy,1980,Equestrianism
Gold,10,Romania,1984,Gymnastics
Bronze,1,Sweden,1936,Boxing
Silver,3,UK,1996,Sailing
Bronze,2,Cuba,2012,Boxing
Gold,16,USA,2000,Athletics
Bronze,3,Belgium,1928,Rowing
Bronze,1,Japan,1972,Ski Jumping
Gold,2,Romania,1988,Rowing
Bronze,1,France,2008,Athletics
Silver,1,Hungary,1968,Modern Pentathlon
Silver,1,Ukraine,2016,Wrestling
Gold,8,France,2016,Equestrianism
Bronze,9,Netherlands,1948,Water Polo
Bronze,1,Denmark,1948,Art Competitions
Bronze,10,Hungary,1988,Fencing
Bronze,12,USA,1904,Golf
Silver,6,Romania,1980,Canoeing
Silver,3,USA,1984,Figure Skating
Bronze,3,Poland,1928,Equestrianism
Silver,9,UK,1948,Athletics
Gold,5,Kenya,1972,Athletics
Bronze,6,Hungary,1972,Fencing
Gold,3,Denmark,2000,Sailing
Bronze,1,France,2014,Biathlon
Gold,15,USA,2004,Softball
Gold,9,USA,1972,Athletics
Silver,3,Russia,1980,Equestrianism
Silver,1,Switzerland,1928,Wrestling
Gold,11,USA,1906,Athletics
Silver,5,Italy,1964,Rowing
Gold,9,USA,2012,Rowing
Gold,20,Cuba,1996,Baseball
Silver,11,Russia,1952,Rowing
Bronze,16,UK,1908,Shooting
Gold,5,Finland,1920,Wrestling
Silver,11,Italy,1976,Fencing
Gold,3,UK,1908,Wrestling
Bronze,1,Slovakia,2012,Shooting
Bronze,3,Poland,1992,Canoeing
Silver,4,Germany,2004,Rowing
Gold,9,USA,2008,Rowing
Gold,2,Italy,2012,Shooting
Gold,16,USA,1920,Rugby
Bronze,9,USA,2016,Swimming
Gold,3,USA,1972,Sailing
Gold,12,Sweden,1948,Football
Silver,5,Norway,2002,Biathlon
Silver,1,Bulgaria,1972,Boxing
Silver,14,Serbia,1956,Football
Bronze,1,Russia,1972,Wrestling
Bronze,8,France,1994,Biathlon
Gold,2,Italy,2004,Athletics
Silver,1,Colombia,1984,Shooting
Bronze,6,France,1972,Fencing
Silver,5,Denmark,1998,Curling
Gold,1,India,2008,Shooting
Gold,4,Brazil,1980,Sailing
Bronze,4,Sweden,1928,Equestrianism
Silver,2,Sweden,1924,Swimming
Gold,4,Belgium,1920,Equestrianism
Bronze,2,Norway,1964,Ski Jumping
Silver,2,Canada,1912,Athletics
Silver,2,UK,1976,Sailing
Silver,2,UK,1908,Archery
Silver,6,Sweden,1952,Fencing
Bronze,5,USA,1994,Short Track Speed Skating
Gold,12,Hungary,1964,Water Polo
Silver,1,Botswana,2012,Athletics
Bronze,2,South Korea,1988,Table Tennis
Gold,17,Poland,1972,Football
Silver,2,Switzerland,2014,Bobsleigh
Silver,11,USA,1996,Swimming
Silver,22,Germany,1972,Swimming
Bronze,3,Sweden,1956,Wrestling
Bronze,1,Hungary,1972,Boxing
Gold,10,UK,1912,Rowing
Bronze,1,Canada,1912,Rowing
Silver,5,Finland,2006,Ski Jumping
Silver,14,Pakistan,1956,Hockey
Silver,18,Brazil,2012,Football
Silver,1,Sweden,2012,Equestrianism
Bronze,1,France,1936,Alpine Skiing
Gold,5,Sweden,1948,Wrestling
Silver,3,Spain,2004,Sailing
Silver,2,Canada,1928,Athletics
Silver,5,Canada,2010,Curling
Gold,1,Luxembourg,1952,Athletics
Bronze,1,Italy,1972,Shooting
Silver,7,Russia,1984,Cross Country Skiing
Bronze,18,Canada,2016,Football
Silver,5,Slovakia,2016,Canoeing
Bronze,8,Netherlands,2014,Speed Skating
Silver,2,Netherlands,1964,Rowing
Gold,1,France,2002,Snowboarding
Silver,2,Spain,2004,Beach Volleyball
Silver,3,Germany,1956,Canoeing
Gold,1,Azerbaijan,2000,Wrestling
Silver,11,UK,1924,Athletics
Gold,2,Switzerland,1992,Bobsleigh
Silver,5,Spain,2016,Rhythmic Gymnastics
Gold,4,UK,1968,Equestrianism
Bronze,1,Romania,2000,Gymnastics
Gold,2,Switzerland,2010,Ski Jumping
Gold,5,Switzerland,1998,Curling
Silver,11,Netherlands,1928,Hockey
Gold,48,USA,1972,Swimming
Bronze,1,Belarus,2012,Tennis
Silver,11,UK,1928,Rowing
Bronze,16,USA,1968,Swimming
Silver,5,Italy,2002,Cross Country Skiing
Gold,13,Hungary,2004,Water Polo
Silver,8,Hungary,1952,Gymnastics
Gold,8,Germany,1996,Rowing
Bronze,13,Australia,2004,Rowing
Bronze,6,Germany,1996,Athletics
Bronze,1,Sweden,1932,Boxing
Gold,1,Uganda,1972,Athletics
Gold,9,Switzerland,1924,Rowing
Bronze,14,Norway,2016,Handball
Silver,19,France,1924,Rugby
Bronze,1,Sweden,1972,Biathlon
Bronze,1,France,2000,Canoeing
Bronze,9,USA,1988,Rowing
Gold,7,UK,1900,Athletics
Gold,1,Russia,2004,Weightlifting
Silver,12,Italy,1980,Basketball
Gold,4,USA,1996,Tennis
Gold,32,Belgium,1920,Archery
Bronze,3,Argentina,2000,Sailing
Bronze,6,Russia,1960,Cross Country Skiing
Silver,2,Italy,1920,Rowing
Silver,32,Germany,1984,Hockey
Gold,9,Italy,1948,Water Polo
Silver,5,Sweden,1956,Rowing
Bronze,4,Sweden,1968,Biathlon
Silver,3,Hungary,1972,Modern Pentathlon
Gold,24,Canada,1992,Rowing
Silver,1,Algeria,2008,Judo
Silver,11,Serbia,1964,Water Polo
Silver,4,Italy,1972,Bobsleigh
Bronze,4,France,1912,Tennis
Bronze,2,USA,2012,Tennis
Silver,4,Romania,1968,Canoeing
Silver,3,Italy,2012,Shooting
Silver,12,USA,2012,Volleyball
Bronze,1,UK,2000,Modern Pentathlon
Bronze,5,Sweden,1992,Biathlon
Bronze,4,Sweden,1952,Cross Country Skiing
Bronze,2,Romania,1996,Canoeing
Bronze,16,Germany,1976,Athletics
Silver,3,Russia,1984,Luge
Bronze,13,Germany,1936,Athletics
Gold,1,UK,2012,Triathlon
Silver,1,Germany,1996,Athletics
Bronze,3,Ireland,1956,Boxing
Bronze,8,Jamaica,2012,Athletics
Bronze,3,Russia,2016,Gymnastics
Bronze,3,Sweden,1936,Equestrianism
Gold,43,Canada,2010,Ice Hockey
Silver,19,Italy,1948,Fencing
Silver,22,Romania,1988,Rowing
Silver,6,Canada,1924,Shooting
Gold,3,Italy,1960,Boxing
Gold,15,USA,1996,Softball
Silver,10,USA,1964,Athletics
Bronze,2,Norway,1956,Athletics
Bronze,2,UK,1984,Judo
Bronze,6,Jamaica,2004,Athletics
Bronze,1,Czech Republic,1928,Ski Jumping
Bronze,33,Germany,2016,Hockey
Bronze,1,Germany,1996,Weightlifting
Gold,5,USA,1952,Boxing
Silver,7,Italy,1992,Cross Country Skiing
Gold,1,UK,1952,Figure Skating
Bronze,20,Denmark,1912,Gymnastics
Gold,15,Denmark,2000,Handball
Silver,16,Sweden,1996,Handball
Silver,18,Japan,2012,Football
Gold,1,Ethiopia,2016,Athletics
Silver,2,Germany,1994,Speed Skating
Silver,2,Bulgaria,1988,Rowing
Bronze,2,Sweden,1948,Equestrianism
Silver,1,France,1994,Biathlon
Gold,5,Russia,1960,Weightlifting
Silver,10,Japan,1956,Gymnastics
Bronze,24,Japan,2004,Baseball
Bronze,1,Russia,1980,Biathlon
Bronze,1,Norway,1920,Wrestling
Bronze,2,Romania,1980,Wrestling
Bronze,4,UK,1920,Swimming
Bronze,4,UK,1964,Athletics
Gold,3,USA,1984,Alpine Skiing
Gold,1,Kazakhstan,2004,Boxing
Gold,7,France,2000,Cycling
Bronze,5,Norway,2014,Biathlon
Gold,3,USA,1932,Art Competitions
Silver,5,USA,1988,Rowing
Bronze,4,Netherlands,1908,Rowing
Gold,6,Cuba,1980,Boxing
Gold,2,Brazil,2016,Beach Volleyball
Silver,11,Belgium,1920,Archery
Gold,1,Canada,1936,Canoeing
Silver,6,Denmark,1948,Swimming
Bronze,3,Ukraine,2008,Athletics
Silver,2,France,1900,Equestrianism
Gold,22,UK,1908,Sailing
Silver,2,Tanzania,1980,Athletics
Bronze,1,Canada,1992,Biathlon
Gold,7,UK,1912,Water Polo
Bronze,18,Germany,1988,Football
Silver,2,USA,1952,Weightlifting
Gold,7,UK,1920,Water Polo
Gold,4,Spain,2012,Sailing
Gold,5,Trinidad,2008,Athletics
Gold,1,New Zealand,2008,Sailing
Bronze,1,Mexico,2000,Boxing
Gold,5,Australia,2012,Sailing
Gold,7,Hungary,1952,Fencing
Bronze,6,New Zealand,2012,Cycling
Silver,1,Sweden,1912,Equestrianism
Silver,1,Germany,1976,Weightlifting
Silver,1,France,2008,Sailing
Silver,4,USA,1948,Equestrianism
Gold,5,Germany,1964,Rowing
Bronze,3,UK,1988,Modern Pentathlon
Bronze,1,UK,2016,Boxing
Silver,1,Italy,1906,Weightlifting
Silver,1,Azerbaijan,1996,Wrestling
Bronze,7,Cuba,1992,Athletics
Gold,20,Cuba,1992,Baseball
Gold,3,Sweden,1952,Wrestling
Bronze,3,Ethiopia,2012,Athletics
Silver,2,Norway,1932,Speed Skating
Gold,16,UK,1988,Hockey
Gold,5,USA,1932,Gymnastics
Bronze,5,Germany,1980,Boxing
Gold,8,Russia,1996,Fencing
Gold,8,France,2004,Fencing
Bronze,3,France,1984,Modern Pentathlon
Bronze,6,Italy,2004,Swimming
Silver,16,Poland,1992,Football
Bronze,10,Sweden,1920,Water Polo
Silver,8,Russia,1980,Gymnastics
Gold,12,USA,2008,Volleyball
Silver,1,Hungary,1928,Swimming
Bronze,1,UK,1896,Cycling
Gold,1,Italy,1932,Athletics
Silver,5,South Africa,1920,Shooting
Bronze,5,Australia,1996,Canoeing
Gold,4,Germany,1994,Bobsleigh
Silver,5,Italy,1936,Athletics
Bronze,18,Sweden,1924,Football
Bronze,17,Sweden,1952,Ice Hockey
Bronze,12,USA,1988,Basketball
Silver,7,Sweden,1968,Cross Country Skiing
Silver,7,Sweden,1912,Water Polo
Silver,1,Switzerland,2000,Shooting
Gold,6,Germany,2002,Biathlon
Gold,1,Cuba,2000,Wrestling
Bronze,1,Russia,2008,Archery
Bronze,18,South Korea,2012,Football
Silver,14,USA,2016,Swimming
Gold,6,Spain,1996,Rhythmic Gymnastics
Bronze,17,Italy,2004,Football
Silver,10,Russia,1972,Fencing
